Time,RPM,MPH,Throttle,Load,Fuel Status
3:40:33.534120,736,0.0,13.3333333333,27.8431372549,0200
3:40:34.111590,733,0.0,13.3333333333,27.8431372549,0200
3:40:34.639261,739,0.0,13.3333333333,27.8431372549,0200
3:40:35.159061,740,0.0,13.3333333333,27.8431372549,0200
3:40:35.734156,732,0.0,13.3333333333,27.8431372549,0200
3:40:36.258651,NODATA,0.0,13.3333333333,27.8431372549,0200
3:40:37.76505,742,0.0,13.3333333333,27.8431372549,0200
3:40:37.600398,738,0.0,13.3333333333,27.8431372549,0200
3:40:38.119019,736,0.0,13.3333333333,27.8431372549,0200
3:40:38.682838,737,0.0,13.3333333333,27.8431372549,0200
3:40:39.257873,741,0.0,13.3333333333,27.8431372549,0200
3:40:39.775332,736,0.0,13.3333333333,27.8431372549,0200
3:40:40.401650,739,0.0,13.3333333333,27.8431372549,0200
3:40:40.927772,732,0.0,13.3333333333,27.8431372549,0200
3:40:41.447846,732,0.0,13.3333333333,27.8431372549,0200
3:40:41.966645,734,0.0,13.3333333333,27.8431372549,0200
3:40:42.495086,733,0.0,13.3333333333,27.8431372549,0200
