rpm,speed,throttle_pos,fuel_status,maf,
16:43:54.949414,743,0.0,1.17647058824,0200,0.33069
16:43:56.530870,760,0.0,1.17647058824,0200,0.33069
16:43:57.433642,750,0.0,1.17647058824,0200,0.33069
16:43:58.329571,764,0.0,1.17647058824,0200,0.363759
16:43:59.423766,755,0.0,0.78431372549,0200,0.33069
16:44:0.477847,743,0.0,1.17647058824,0200,0.363759
16:44:1.435002,767,0.0,1.17647058824,0200,0.33069
16:44:2.388845,751,0.0,0.78431372549,0200,0.33069
16:44:3.392403,762,0.0,1.17647058824,0200,0.33069
16:44:4.346399,751,0.0,0.78431372549,0200,0.33069
16:44:5.400355,748,0.0,1.17647058824,0200,0.363759
16:44:6.403350,769,0.0,1.17647058824,0200,0.33069
16:44:7.306075,756,0.0,0.78431372549,0200,0.33069
16:44:8.387544,753,0.0,1.17647058824,0200,0.363759
16:44:9.298347,764,0.0,1.17647058824,0200,0.33069
16:44:10.252439,754,0.0,1.17647058824,0200,0.33069
16:44:11.250912,761,0.0,1.17647058824,0200,0.33069
16:44:12.154712,757,0.0,1.17647058824,0200,0.33069
16:44:13.120871,759,0.0,1.17647058824,0200,0.33069
