rpm,speed,throttle_pos,fuel_status,maf,fuel_air_equiv,fuel_level,dist_since_clear,
0:54:24.679050,754,0,0.78431372549,0200,768,NODATA,NODATA,NODATA,0, NODATA, 0
0:54:26.845103,758,0,0.78431372549,0200,768,NODATA,NODATA,NODATA,0, NODATA, NODATA
0:54:28.828769,765,0,1.17647058824,0200,768,NODATA,NODATA,NODATA,0, NODATA, NODATA
0:54:30.838928,760,0,1.17647058824,0200,768,NODATA,NODATA,NODATA,0, NODATA, NODATA
0:54:32.804052,756,0,1.17647058824,0200,1024,NODATA,NODATA,NODATA,0, NODATA, NODATA
0:54:35.227766,767,NODATA,0.78431372549,0200,704,NORESPONSE,NODATA,NODATA,NODATA, NODATA, NODATA
0:54:37.819179,756,0,0.78431372549,0200,960,NODATA,NODATA,NODATA,0, NODATA, NODATA
0:54:39.939337,754,0,0.78431372549,0200,768,NODATA,NODATA,NODATA,0, NODATA, NODATA
0:54:42.202924,758,0,0.78431372549,0200,704,NODATA,NODATA,NODATA,0, NODATA, NODATA
0:54:44.349440,764,0,0.78431372549,0200,704,NODATA,NODATA,NODATA,0, NODATA, NODATA
0:54:46.398270,738,0,0.78431372549,0200,768,NODATA,NODATA,NODATA,0, NODATA, NODATA
